  33.20 MiB	sublime-text                            	Sublime Text is a sophisticated text editor for code, markup and prose
  33.86 MiB	mupdf-gl                                	Lightweight PDF and XPS viewer with OpenGL backend
  37.70 MiB	git                                     	the fast distributed version control system
  42.80 MiB	libvirt                                 	API for controlling virtualization engines (openvz,kvm,qemu,virtualbox,xen,etc)
  43.42 MiB	ttf-fira-sans                           	Mozilla's sans-serif typeface designed for Firefox OS
  46.63 MiB	telegram-desktop                        	Official Telegram Desktop client
  49.94 MiB	mesa                                    	An open-source implementation of the OpenGL specification
  95.83 MiB	deepin-api                              	Golang bindings for dde-daemon
  98.21 MiB	linux-headers                           	Header files and scripts for building modules for Linux kernel
 113.32 MiB	deepin-daemon                           	Daemon handling the DDE session settings
 170.84 MiB	docker                                  	Pack, ship and run any application as a lightweight container
 476.33 MiB	go                                      	Core compiler tools for the Go programming language
