  11.36 MiB	ttf-lato                                	A sanserif typeface family bearing the Polish name of "Summer"
  12.27 MiB	xorg-fonts-100dpi                       	X.org 100dpi fonts
  12.63 MiB	openjpeg2                               	An open source JPEG 2000 codec, version 2.3.1
  12.68 MiB	youtube-dl                              	A small command-line program to download videos from YouTube.com and a few more sites
  13.20 MiB	nautilus                                	Default file manager for GNOME
  13.39 MiB	evince                                  	Document viewer (PDF, Postscript, djvu, tiff, dvi, XPS, SyncTex support with gedit, comics books (cbr,cbz,cb7 and cbt))
  14.76 MiB	opencl-mesa                             	OpenCL support for AMD/ATI Radeon mesa drivers
  14.89 MiB	networkmanager                          	Network connection manager and user applications
  15.27 MiB	mutter                                  	A window manager for GNOME
  16.26 MiB	ttf-ibm-plex                            	IBM Plex Mono, Sans, and Serif
  16.53 MiB	sublime-merge                           	Sublime Merge is a most excellent git client
  19.35 MiB	gnome-control-center                    	GNOME's main interface to configure various aspects of the desktop
  19.62 MiB	neovim                                  	Fork of Vim aiming to improve user experience, plugins, and GUIs
  20.34 MiB	gopass                                  	The slightly more awesome standard unix password manager for teams.
  24.64 MiB	restic                                  	Fast, secure, efficient backup program
  24.74 MiB	python-pipenv                           	Sacred Marriage of Pipfile, Pip, & Virtualenv.
  28.42 MiB	intel-media-driver                      	Intel Media Driver for VAAPI — Broadwell+ iGPUs
  31.01 MiB	cmake                                   	A cross-platform open-source make system
  31.20 MiB	gnome-backgrounds                       	Background images and data for GNOME
  33.24 MiB	sublime-text                            	Sublime Text is a sophisticated text editor for code, markup and prose
  37.70 MiB	git                                     	the fast distributed version control system
  41.03 MiB	docker-machine                          	Machine management for a container-centric world
  42.30 MiB	deepin-icon-theme                       	Deepin Icons
  43.42 MiB	ttf-fira-sans                           	Mozilla's sans-serif typeface designed for Firefox OS
  46.33 MiB	telegram-desktop                        	Official Telegram Desktop client
  49.97 MiB	mesa                                    	An open-source implementation of the OpenGL specification
  62.50 MiB	papirus-icon-theme                      	Papirus icon theme
 147.77 MiB	virtualbox                              	Powerful x86 virtualization for enterprise as well as home use
 170.98 MiB	docker                                  	Pack, ship and run any application as a lightweight container
 171.05 MiB	chromium                                	A web browser built for speed, simplicity, and security
 476.06 MiB	go                                      	Core compiler tools for the Go programming language
